job_id,company,source,title,location,url,date_found,match_score,title_score,description_score,match_reasons
/job/US-CO-AURORA-S75--16800-E-Centretech-Pkwy--BLDG-S75/Software-Platform-Intern--Onsite-_01874067,RTX,workday,Software Platform Intern (Onsite),US-CO-AURORA-S75 ~ 16800 E Centretech Pkwy ~ BLDG S75,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-CO-AURORA-S75--16800-E-Centretech-Pkwy--BLDG-S75/Software-Platform-Intern--Onsite-_01874067,2026-09-10,26,10,16,title: intern (+10); description: hardware (+8); description: defense (+8)
/job/US-TX-RICHARDSON-C27--1727-Cityline-Dr--CITYLINE-C27/Software-Platform-Intern--Summer-2027-_01874068,RTX,workday,Software Platform Intern (Summer 2027),US-TX-RICHARDSON-C27 ~ 1727 Cityline Dr ~ CITYLINE C27,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-TX-RICHARDSON-C27--1727-Cityline-Dr--CITYLINE-C27/Software-Platform-Intern--Summer-2027-_01874068,2026-09-10,26,10,16,title: intern (+10); description: hardware (+8); description: defense (+8)
/job/US-CT-MIDDLETOWN-220A--Aircraft-Rd--BLDG-220A/Advanced-Measurement-Str-Data-Recording-Summer-Intern--Onsite-_01872890,RTX,workday,Advanced Measurement Str Data Recording Summer Intern (Onsite),US-CT-MIDDLETOWN-220A ~ Aircraft Rd ~ BLDG 220A,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-CT-MIDDLETOWN-220A--Aircraft-Rd--BLDG-220A/Advanced-Measurement-Str-Data-Recording-Summer-Intern--Onsite-_01872890,2026-09-10,34,10,24,title: intern (+10); description: electrical (+8); description: hardware (+8); description: defense (+8)
/job/Warren-Michigan-United-States-of-America/Entry-Level---Wireless-EF-Design---Validation-Engineer_JR-202619982,General Motors,workday,Entry Level - Wireless EF Design & Validation Engineer,"Warren, Michigan, United States of America",https://generalmotors.wd5.myworkdayjobs.com/en-US/Careers_GM/job/Warren-Michigan-United-States-of-America/Entry-Level---Wireless-EF-Design---Validation-Engineer_JR-202619982,2026-09-10,40,10,30,title: entry level (+10); description: semiconductor (+8); description: transmission (+10); description: electrical (+8); description: hardware (+8); description: embedded (+8); description: pcb (+8); description score capped at 30
/job/Illinois---Fairview-Heights/Electrical-Engineering-Intern_2026-22442,Schweitzer Engineering Laboratories,workday,Electrical Engineering Intern,Illinois - Fairview Heights,https://selinc.wd1.myworkdayjobs.com/en-US/SEL/job/Illinois---Fairview-Heights/Electrical-Engineering-Intern_2026-22442,2026-09-10,54,30,24,title: intern (+10); title: electrical (+20); description: power systems (+12); description: relay (+12)
/job/Illinois---Fairview-Heights/Designer-Drafter-Intern_2026-21712,Schweitzer Engineering Laboratories,workday,Engineering Intern,Illinois - Fairview Heights,https://selinc.wd1.myworkdayjobs.com/en-US/SEL/job/Illinois---Fairview-Heights/Designer-Drafter-Intern_2026-21712,2026-09-10,34,10,24,title: intern (+10); description: power systems (+12); description: relay (+12)
/job/US-PA-STATE-COLLEGE-5A--302-Science-Park-Rd--BLDG-5A/Software-Engineering-Intern--Summer-2027-_01869001,RTX,workday,Software Engineering Intern (Summer 2027),US-PA-STATE COLLEGE-5A ~ 302 Science Park Rd ~ BLDG 5A,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-PA-STATE-COLLEGE-5A--302-Science-Park-Rd--BLDG-5A/Software-Engineering-Intern--Summer-2027-_01869001,2026-09-10,26,10,16,title: intern (+10); description: hardware (+8); description: defense (+8)
/job/US-CA-EL-SEGUNDO-R01--2000-E-Imperial-Hwy--BLDG-R01/Digital-Hardware-Design-Engineer--2027-New-College-Graduate-_01873795,RTX,workday,Digital Hardware Design Engineer (2027 New College Graduate),US-CA-EL SEGUNDO-R01 ~ 2000 E Imperial Hwy ~ BLDG R01,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-CA-EL-SEGUNDO-R01--2000-E-Imperial-Hwy--BLDG-R01/Digital-Hardware-Design-Engineer--2027-New-College-Graduate-_01873795,2026-09-10,50,20,30,title: graduate (+5); title: hardware (+15); description: semiconductor (+8); description: electrical (+8); description: hardware (+8); description: embedded (+8); description: defense (+8); description score capped at 30
/job/US-CT-EAST-HARTFORD-L--400-Main-St--BLDG-L/Commercial-Structures-Intern--Summer-2027--Onsite-_01871999,RTX,workday,Commercial Structures Intern (Summer 2027)(Onsite),US-CT-EAST HARTFORD-L ~ 400 Main St ~ BLDG L,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-CT-EAST-HARTFORD-L--400-Main-St--BLDG-L/Commercial-Structures-Intern--Summer-2027--Onsite-_01871999,2026-09-10,26,10,16,title: intern (+10); description: hardware (+8); description: defense (+8)
/job/US-WA-BOTHELL-3350--3350-Monte-Villa-Pkwy--CREEKVIEW-BLDG-Ste-210/Avionics-Systems-Engineering-Intern---Hybrid_01872126,RTX,workday,Avionics Systems Engineering Intern - Hybrid,"US-WA-BOTHELL-3350 ~ 3350 Monte Villa Pkwy ~ CREEKVIEW BLDG, Ste 210",https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-WA-BOTHELL-3350--3350-Monte-Villa-Pkwy--CREEKVIEW-BLDG-Ste-210/Avionics-Systems-Engineering-Intern---Hybrid_01872126,2026-09-10,26,10,16,title: intern (+10); description: hardware (+8); description: defense (+8)
